dataset_ID,dataset,unit_of_observaton,count_observations,count_variables,variable_names,data_file
1,notifications,One observation per notification,21178,16,"key_ID, notification_ID, notification_by_ID, notification_by, notification_by_code, state_date, start_year, end_date, end_year, postponement, comments, count_comments, commission_comment, opinions, count_opinions, commission_opinion",notifications.RData
2,notifications_TS,One observation per year,33,3,"key_ID, year, count_notifications",notifications_TS.RData
3,notifications_CSTS,One observation per notification-submitting entity per year,856,6,"key_ID, year, notification_by_ID, notification_by, notification_by_code, count_notifications",notifications_CSTS.RData
4,comments,One observation per comment,10503,13,"key_ID, notification_ID, notification_by_ID, notification_by, notification_by_code, state_date, start_year, end_date, end_year, comment_ID, comment_by_ID, comment_by, comment_by_code",comments.RData
5,comments_TS,One observation per year,33,3,"key_ID, year, count_comments",comments_TS.RData
6,comments_CSTS,One observation per comment-submitting entity per year,922,6,"key_ID, year, comment_by_ID, comment_by, comment_by_code, count_comments",comments_CSTS.RData
7,comments_DDY,One observation per comment-submitting entity per notification-submitting entity per year,24428,9,"key_ID, year, comment_by_ID, comment_by, comment_by_code, notification_by_ID, notification_by, notification_by_code, count_comments",comments_DDY.RData
8,comments_network,One observation per comment-submitting entity per notification-submitting entity per year,3209,9,"key_ID, year, comment_by_ID, comment_by, comment_by_code, notification_by_ID, notification_by, notification_by_code, count_comments",comments_network.RData
9,opinions,One observation per opinion,4657,13,"key_ID, notification_ID, notification_by_ID, notification_by, notification_by_code, state_date, start_year, end_date, end_year, opinion_ID, opinion_by_ID, opinion_by, opinion_by_code",opinions.RData
10,opinions_TS,One observation per year,33,3,"key_ID, year, count_opinions",opinions_TS.RData
11,opinions_CSTS,One observation per opinion-submitting entity per year,922,6,"key_ID, year, opinion_by_ID, opinion_by, opinion_by_code, count_opinions",opinions_CSTS.RData
12,opinions_DDY,One observation per opinion-submitting entity per notification-submitting entity per year,24428,9,"key_ID, year, opinion_by_ID, opinion_by, opinion_by_code, notification_by_ID, notification_by, notification_by_code, count_opinions",opinions_DDY.RData
13,opinions_network,One observation per opinion-submitting entity per notification-submitting entity per year,1939,9,"key_ID, year, opinion_by_ID, opinion_by, opinion_by_code, notification_by_ID, notification_by, notification_by_code, count_opinions",opinions_network.RData